месяц,продукт,регион,сегмент,канал,заявки,одобрено,выдано,средний_чек_тыс_руб,расход_на_маркетинг_тыс_руб,доля_цифровых_заявок_проц,просрочка_30дн_проц,чистый_доход_млн_руб
2024-02-01,Ипотека,Поволжье,Премиум,Партнерский канал,360,176,117,6332.9,5564.8,37.9,0.65,6.81
2024-02-01,Ипотека,Северо-Запад,Зарплатный,Мобильное приложение,526,263,180,,5581.7,54.0,1.23,7.781
2024-02-01,Ипотека,Северо-Запад,Массовый,Мобильное приложение,502,247,173,4024.7,5572.3,54.4,2.91,6.433
2024-02-01,Ипотека,Северо-Запад,Премиум,Мобильное приложение,352,185,116,6478.2,4964.2,46.2,0.46,7.494
2024-02-01,Ипотека,Сибирь,Зарплатный,Мобильное приложение,420,212,141,,5561.5,48.4,1.56,5.018
2024-02-01,Ипотека,Сибирь,Массовый,Партнерский канал,411,188,124,3475.3,4706.9,48.8,2.34,3.154
2024-02-01,Ипотека,Сибирь,Премиум,Партнерский канал,331,169,114,6049.7,4435.3,37.0,0.87,7.305
2024-02-01,Ипотека,Урал,Зарплатный,Офис,382,194,135,4158.7,4550.1,50.4,2.12,5.147
2024-02-01,Ипотека,Урал,Массовый,Партнерский канал,413,204,134,,5108.2,45.6,2.06,4.876
2024-02-01,Ипотека,Урал,Премиум,Офис,302,158,106,5861.8,4670.8,41.4,1.15,6.247
2024-02-01,Ипотека,Центр,Зарплатный,Мобильное приложение,516,279,180,3960.5,6987.3,51.3,0.75,6.083
2024-02-01,Ипотека,Центр,Массовый,Мобильное приложение,596,298,195,4064.0,7339.6,48.0,2.41,6.793
2024-02-01,Ипотека,Центр,Премиум,Мобильное приложение,466,242,166,6036.1,6065.1,37.6,0.67,10.503
2024-02-01,Кредитная карта,Поволжье,Зарплатный,Мобильное приложение,759,563,433,123.4,3584.8,77.7,3.04,1.248
2024-02-01,Кредитная карта,Поволжье,Массовый,Офис,878,633,485,112.7,3850.0,74.8,4.1,1.281
2024-02-01,Кредитная карта,Поволжье,Премиум,Мобильное приложение,465,347,276,160.4,3502.9,64.5,3.31,0.564
2024-02-01,Кредитная карта,Северо-Запад,Зарплатный,Мобильное приложение,724,497,387,123.8,3899.9,79.3,3.02,0.807
2024-02-01,Кредитная карта,Северо-Запад,Массовый,Партнерский канал,861,612,489,108.3,3905.2,69.9,4.37,0.629
2024-02-01,Кредитная карта,Северо-Запад,Премиум,Мобильное приложение,410,316,245,181.2,2876.2,72.8,3.44,0.688
2024-02-01,Кредитная карта,Сибирь,Зарплатный,Мобильное приложение,642,466,362,113.7,3467.0,68.1,3.37,0.15
2024-02-01,Кредитная карта,Сибирь,Массовый,Мобильное приложение,799,596,462,110.9,3230.3,70.4,4.41,0.992
2024-02-01,Кредитная карта,Сибирь,Премиум,Офис,394,293,233,156.0,2939.1,59.0,2.34,0.672
2024-02-01,Кредитная карта,Урал,Зарплатный,Мобильное приложение,709,511,404,123.5,4083.5,70.2,3.01,0.81
2024-02-01,Кредитная карта,Урал,Массовый,Офис,796,562,444,125.3,3655.4,75.6,3.94,0.802
2024-02-01,Кредитная карта,Урал,Премиум,Мобильное приложение,430,321,255,174.6,2673.9,78.2,3.02,0.827
2024-02-01,Кредитная карта,Центр,Зарплатный,Офис,919,714,570,130.9,4608.6,81.0,3.14,1.805
2024-02-01,Кредитная карта,Центр,Массовый,Офис,915,667,525,124.1,4405.2,76.4,3.95,1.521
2024-02-01,Кредитная карта,Центр,Премиум,Мобильное приложение,550,408,320,200.5,3718.7,75.2,3.06,1.787
2024-02-01,Потребительский кредит,Поволжье,Зарплатный,Офис,600,392,293,393.1,4612.3,52.1,3.45,1.697
2024-02-01,Потребительский кредит,Поволжье,Массовый,Партнерский канал,678,423,313,382.0,4154.2,58.6,5.1,1.999
2024-02-01,Потребительский кредит,Поволжье,Премиум,Партнерский канал,474,297,216,584.2,4437.4,52.7,3.14,2.598
2024-02-01,Потребительский кредит,Северо-Запад,Зарплатный,Мобильное приложение,609,389,282,411.5,4062.9,59.4,,2.131
2024-02-01,Потребительский кредит,Северо-Запад,Массовый,Офис,656,423,301,385.0,4207.1,59.8,5.2,1.751
2024-02-01,Потребительский кредит,Северо-Запад,Премиум,Мобильное приложение,379,229,161,593.1,3344.1,60.9,4.01,1.615
2024-02-01,Потребительский кредит,Сибирь,Зарплатный,Офис,518,313,228,443.4,3262.6,60.4,4.47,1.976
2024-02-01,Потребительский кредит,Сибирь,Массовый,Офис,673,421,307,373.6,4374.8,56.0,4.62,1.67
2024-02-01,Потребительский кредит,Сибирь,Премиум,Офис,313,204,153,629.3,3026.6,54.2,3.45,1.59
2024-02-01,Потребительский кредит,Урал,Зарплатный,Офис,520,328,232,497.8,3996.6,62.3,4.71,2.175
2024-02-01,Потребительский кредит,Урал,Массовый,Партнерский канал,656,419,310,442.9,4477.7,62.0,5.22,2.607
2024-02-01,Потребительский кредит,Урал,Премиум,Партнерский канал,405,253,186,630.5,3860.0,56.7,3.04,2.198
2024-02-01,Потребительский кредит,Центр,Зарплатный,Мобильное приложение,719,473,359,461.0,4922.9,63.3,3.95,3.487
2024-02-01,Потребительский кредит,Центр,Массовый,Офис,943,588,439,454.5,6442.0,63.4,5.44,3.71
2024-02-01,Потребительский кредит,Центр,Премиум,Мобильное приложение,462,291,200,,4941.8,56.1,3.18,1.875
2024-03-01,Вклад,Поволжье,Зарплатный,Офис,438,383,352,942.7,2026.9,60.8,0.2,1.725
2024-03-01,Вклад,Поволжье,Массовый,Офис,532,454,425,823.3,1780.1,58.1,1.49,2.093
2024-03-01,Вклад,Поволжье,Премиум,Партнерский канал,227,201,186,1366.2,1588.6,58.8,0.2,1.327
2024-03-01,Вклад,Северо-Запад,Зарплатный,Партнерский канал,409,354,305,958.6,1895.7,63.2,0.23,1.494
2024-03-01,Вклад,Северо-Запад,Массовый,Мобильное приложение,509,453,421,766.5,2099.3,67.2,0.61,1.739
2024-03-01,Вклад,Северо-Запад,Премиум,Мобильное приложение,256,233,214,1403.5,1683.5,56.5,0.2,1.552
2024-03-01,Вклад,Сибирь,Зарплатный,Партнерский канал,344,315,295,808.8,1722.2,65.8,0.2,1.429
2024-03-01,Вклад,Сибирь,Массовый,Офис,393,341,306,842.9,1554.5,58.1,1.36,1.415
2024-03-01,Вклад,Сибирь,Премиум,Офис,219,198,179,1262.2,1390.6,58.7,0.2,1.131
2024-03-01,Вклад,Урал,Зарплатный,Офис,397,344,307,967.0,1612.2,69.0,0.66,1.334
2024-03-01,Вклад,Урал,Массовый,Офис,428,369,329,,1618.3,62.7,1.46,1.35
2024-03-01,Вклад,Урал,Премиум,Офис,245,218,198,1205.9,1609.3,64.9,0.2,1.418
2024-03-01,Вклад,Центр,Зарплатный,Офис,506,443,402,952.2,2056.5,69.8,0.41,2.074
2024-03-01,Вклад,Центр,Массовый,Офис,625,561,505,,2385.1,70.2,0.72,3.241
2024-03-01,Вклад,Центр,Премиум,Мобильное приложение,290,269,247,1433.0,,63.8,0.2,1.826
2024-03-01,Ипотека,Поволжье,Зарплатный,Мобильное приложение,483,234,162,4528.5,6183.3,55.8,1.1,7.183
2024-03-01,Ипотека,Поволжье,Массовый,Партнерский канал,557,268,175,3962.3,6859.2,44.3,2.39,5.861
2024-03-01,Ипотека,Поволжье,Премиум,Мобильное приложение,409,209,140,6396.6,5731.5,41.2,0.86,9.152
2024-03-01,Ипотека,Северо-Запад,Зарплатный,Мобильное приложение,437,222,152,4057.1,5434.2,44.9,1.52,5.358
2024-03-01,Ипотека,Северо-Запад,Массовый,Партнерский канал,452,229,153,4096.6,5127.3,49.3,2.82,5.95
2024-03-01,Ипотека,Северо-Запад,Премиум,Партнерский канал,381,183,128,6450.5,5582.8,46.6,0.74,8.533
2024-03-01,Ипотека,Сибирь,Зарплатный,Мобильное приложение,440,213,136,3642.4,5152.5,47.1,0.78,4.059
2024-03-01,Ипотека,Сибирь,Массовый,Мобильное приложение,477,238,166,3792.4,5858.8,52.0,2.64,5.25
2024-03-01,Ипотека,Сибирь,Премиум,Офис,258,132,92,5122.1,4445.2,40.3,0.66,4.406
2024-03-01,Ипотека,Урал,Зарплатный,Мобильное приложение,337,179,117,4457.8,5145.7,45.6,0.91,4.658
2024-03-01,Ипотека,Урал,Массовый,Мобильное приложение,519,254,165,3733.8,6041.7,49.6,1.73,5.207
2024-03-01,Ипотека,Урал,Премиум,Мобильное приложение,416,214,140,5989.0,4886.4,49.3,0.98,8.954
2024-03-01,Ипотека,Центр,Зарплатный,Партнерский канал,573,289,191,4526.4,7292.6,51.2,1.72,7.643
2024-03-01,Ипотека,Центр,Массовый,Партнерский канал,619,307,203,4418.2,7611.3,53.2,1.85,8.286
2024-03-01,Ипотека,Центр,Премиум,Офис,453,246,168,6993.6,6103.9,43.1,0.27,13.22
2024-03-01,Кредитная карта,Поволжье,Зарплатный,Мобильное приложение,723,517,411,124.7,4417.5,68.0,3.57,0.496
2024-03-01,Кредитная карта,Поволжье,Массовый,Партнерский канал,875,625,514,109.2,4011.0,76.8,4.31,1.026
2024-03-01,Кредитная карта,Поволжье,Премиум,Офис,505,376,296,175.8,3763.9,72.4,2.84,1.034
2024-03-01,Кредитная карта,Северо-Запад,Зарплатный,Мобильное приложение,708,536,425,129.5,3575.6,78.3,3.05,1.392
2024-03-01,Кредитная карта,Северо-Запад,Массовый,Мобильное приложение,843,587,481,,3508.8,70.3,4.82,1.402
2024-03-01,Кредитная карта,Северо-Запад,Премиум,Офис,435,319,264,176.9,3068.6,71.4,2.71,0.707
2024-03-01,Кредитная карта,Сибирь,Зарплатный,Офис,717,508,417,107.8,3752.2,69.7,2.94,0.492
2024-03-01,Кредитная карта,Сибирь,Массовый,Офис,721,523,415,117.9,3050.8,72.3,4.65,1.035
2024-03-01,Кредитная карта,Сибирь,Премиум,Офис,384,276,214,190.4,2885.8,65.6,2.9,0.948
2024-03-01,Кредитная карта,Урал,Зарплатный,Партнерский канал,697,494,377,,3989.9,75.7,3.05,0.541
2024-03-01,Кредитная карта,Урал,Массовый,Партнерский канал,724,510,403,102.3,,69.8,3.96,0.541
2024-03-01,Кредитная карта,Урал,Премиум,Партнерский канал,426,318,246,186.9,2932.2,72.3,2.52,1.243
2024-03-01,Кредитная карта,Центр,Зарплатный,Офис,879,635,508,141.3,4029.1,79.0,3.46,1.981
2024-03-01,Кредитная карта,Центр,Массовый,Мобильное приложение,903,650,522,122.9,4622.2,77.9,4.34,1.168
2024-03-01,Кредитная карта,Центр,Премиум,Партнерский канал,615,468,384,203.5,4093.9,75.7,3.01,2.617
2024-03-01,Потребительский кредит,Поволжье,Зарплатный,Мобильное приложение,618,402,293,458.7,4462.9,65.7,3.34,2.158
2024-03-01,Потребительский кредит,Поволжье,Массовый,Офис,741,471,357,426.3,4385.5,59.3,4.87,3.202
2024-03-01,Потребительский кредит,Поволжье,Премиум,Мобильное приложение,440,282,215,631.2,4008.0,49.4,3.56,2.724
2024-03-01,Потребительский кредит,Северо-Запад,Зарплатный,Партнерский канал,548,370,266,459.3,4124.5,66.4,3.85,2.076
2024-03-01,Потребительский кредит,Северо-Запад,Массовый,Офис,764,500,359,441.3,4959.8,56.5,5.02,2.975
2024-03-01,Потребительский кредит,Северо-Запад,Премиум,Мобильное приложение,454,302,220,669.4,3733.0,55.3,3.34,3.413
2024-03-01,Потребительский кредит,Сибирь,Зарплатный,Офис,549,336,249,422.4,,52.4,,2.067
2024-03-01,Потребительский кредит,Сибирь,Массовый,Мобильное приложение,621,384,268,385.1,4307.0,54.0,5.34,1.282
2024-03-01,Потребительский кредит,Сибирь,Премиум,Офис,448,281,206,602.3,3513.2,52.3,3.32,2.455
2024-03-01,Потребительский кредит,Урал,Зарплатный,Мобильное приложение,538,343,236,414.3,3185.3,64.6,4.53,1.199
2024-03-01,Потребительский кредит,Урал,Массовый,Мобильное приложение,629,374,269,374.2,3501.4,62.0,4.66,1.637
2024-03-01,Потребительский кредит,Урал,Премиум,Мобильное приложение,390,254,187,708.5,3243.6,53.6,3.43,3.177
2024-03-01,Потребительский кредит,Центр,Зарплатный,Мобильное приложение,795,499,371,500.6,5817.2,67.7,3.9,3.832
2024-03-01,Потребительский кредит,Центр,Массовый,Офис,852,503,349,366.9,5480.3,52.7,4.58,1.851
2024-03-01,Потребительский кредит,Центр,Премиум,Мобильное приложение,468,303,222,634.1,4513.8,54.9,3.51,2.829
2024-04-01,Вклад,Поволжье,Зарплатный,Офис,437,391,354,876.9,1869.2,69.7,,1.764
2024-04-01,Вклад,Поволжье,Массовый,Офис,452,397,347,784.9,1956.3,63.9,1.34,1.338
2024-04-01,Вклад,Поволжье,Премиум,Партнерский канал,279,256,237,1220.1,,61.3,0.2,1.946
2024-04-01,Вклад,Северо-Запад,Зарплатный,Мобильное приложение,327,286,254,1092.1,1664.5,67.9,0.4,3.603
2024-04-01,Вклад,Северо-Запад,Массовый,Мобильное приложение,465,415,369,963.4,1901.0,63.1,2.2,2.044
2024-04-01,Вклад,Северо-Запад,Премиум,Мобильное приложение,265,242,220,1340.8,1530.1,63.9,0.2,1.441
2024-04-01,Вклад,Сибирь,Зарплатный,Мобильное приложение,356,319,290,1068.2,1649.1,70.4,0.44,1.716
2024-04-01,Вклад,Сибирь,Массовый,Мобильное приложение,441,407,368,839.8,,63.3,0.92,1.718
2024-04-01,Вклад,Сибирь,Премиум,Офис,233,210,191,,1278.7,58.7,0.2,1.375
2024-04-01,Вклад,Урал,Зарплатный,Офис,383,346,320,947.5,1709.3,72.2,0.32,1.782
2024-04-01,Вклад,Урал,Массовый,Мобильное приложение,403,353,320,968.9,1508.9,68.7,0.83,1.75
2024-04-01,Вклад,Урал,Премиум,Партнерский канал,250,221,202,,1575.9,63.2,0.2,1.983
2024-04-01,Вклад,Центр,Зарплатный,Мобильное приложение,513,467,424,1040.2,2101.3,70.3,0.56,2.686
2024-04-01,Вклад,Центр,Массовый,Партнерский канал,555,488,435,846.3,2307.9,69.5,1.4,1.464
2024-04-01,Вклад,Центр,Премиум,Офис,300,276,262,1376.8,1800.8,69.2,0.2,2.061
2024-04-01,Ипотека,Поволжье,Зарплатный,Офис,520,268,169,3943.6,5580.9,48.2,1.48,5.959
2024-04-01,Ипотека,Поволжье,Массовый,Офис,481,225,140,,5923.3,45.3,1.67,3.682
2024-04-01,Ипотека,Поволжье,Премиум,Мобильное приложение,351,181,117,5714.8,4854.8,39.9,0.72,6.501
2024-04-01,Ипотека,Северо-Запад,Зарплатный,Офис,433,223,144,4211.9,6094.4,55.0,1.04,5.212
2024-04-01,Ипотека,Северо-Запад,Массовый,Мобильное приложение,442,193,126,4302.9,6204.0,52.2,,3.739
2024-04-01,Ипотека,Северо-Запад,Премиум,Офис,313,169,108,6884.4,4349.2,42.0,0.79,7.745
2024-04-01,Ипотека,Сибирь,Зарплатный,Мобильное приложение,427,225,148,3732.0,5193.9,42.1,1.82,4.843
2024-04-01,Ипотека,Сибирь,Массовый,Офис,480,239,158,3562.4,5704.8,45.4,3.07,4.415
2024-04-01,Ипотека,Сибирь,Премиум,Мобильное приложение,383,209,139,5692.7,5133.6,41.0,0.57,8.314
2024-04-01,Ипотека,Урал,Зарплатный,Мобильное приложение,406,221,149,4400.0,,50.8,1.2,5.942
2024-04-01,Ипотека,Урал,Массовый,Офис,490,249,164,3890.0,5791.8,45.5,2.34,5.864
2024-04-01,Ипотека,Урал,Премиум,Мобильное приложение,324,163,106,5545.1,4520.2,44.7,0.94,5.766
2024-04-01,Ипотека,Центр,Зарплатный,Офис,554,287,188,4299.3,6949.5,47.6,1.21,7.59
2024-04-01,Ипотека,Центр,Массовый,Мобильное приложение,620,288,194,4555.7,7651.6,50.7,,7.798
2024-04-01,Ипотека,Центр,Премиум,Партнерский канал,475,245,163,6337.9,6292.1,42.9,0.95,10.786
2024-04-01,Кредитная карта,Поволжье,Зарплатный,Мобильное приложение,688,486,382,129.2,3694.6,69.7,3.18,0.987
2024-04-01,Кредитная карта,Поволжье,Массовый,Офис,825,587,470,107.0,3907.0,66.4,3.73,0.949
2024-04-01,Кредитная карта,Поволжье,Премиум,Партнерский канал,460,335,257,151.4,3581.9,72.1,2.61,0.087
2024-04-01,Кредитная карта,Северо-Запад,Зарплатный,Партнерский канал,704,512,394,129.8,4057.3,76.7,2.78,0.955
2024-04-01,Кредитная карта,Северо-Запад,Массовый,Мобильное приложение,799,569,451,125.0,3741.7,69.8,4.24,1.086
2024-04-01,Кредитная карта,Северо-Запад,Премиум,Партнерский канал,438,339,277,169.5,3926.8,71.6,2.88,0.614
2024-04-01,Кредитная карта,Сибирь,Зарплатный,Мобильное приложение,550,411,317,114.9,3225.7,72.2,3.11,0.328
2024-04-01,Кредитная карта,Сибирь,Массовый,Офис,767,532,418,107.0,3995.4,71.3,4.31,0.304
2024-04-01,Кредитная карта,Сибирь,Премиум,Офис,420,313,243,,3286.1,63.4,2.91,0.321
2024-04-01,Кредитная карта,Урал,Зарплатный,Мобильное приложение,657,495,394,120.0,4058.4,77.9,2.6,0.702
2024-04-01,Кредитная карта,Урал,Массовый,Мобильное приложение,813,581,449,110.5,3577.6,67.9,4.35,0.44
2024-04-01,Кредитная карта,Урал,Премиум,Офис,401,291,234,159.9,2898.3,69.0,3.17,0.295
2024-04-01,Кредитная карта,Центр,Зарплатный,Партнерский канал,799,597,491,122.4,5063.4,85.6,3.11,0.839
2024-04-01,Кредитная карта,Центр,Массовый,Мобильное приложение,1034,761,599,122.7,6040.5,78.1,4.57,0.997
2024-04-01,Кредитная карта,Центр,Премиум,Офис,580,438,348,185.9,4251.4,67.8,2.29,1.71
2024-04-01,Потребительский кредит,Поволжье,Зарплатный,Офис,620,404,301,437.7,4496.7,58.4,4.01,1.965
2024-04-01,Потребительский кредит,Поволжье,Массовый,Мобильное приложение,665,414,302,413.1,,58.7,4.32,1.535
2024-04-01,Потребительский кредит,Поволжье,Премиум,Партнерский канал,465,305,226,661.9,4422.5,50.9,3.19,3.105
2024-04-01,Потребительский кредит,Северо-Запад,Зарплатный,Мобильное приложение,555,368,258,449.6,4598.6,64.1,4.2,1.605
2024-04-01,Потребительский кредит,Северо-Запад,Массовый,Мобильное приложение,646,416,305,341.1,4531.4,65.1,4.66,1.317
2024-04-01,Потребительский кредит,Северо-Запад,Премиум,Мобильное приложение,382,243,175,632.3,3683.5,56.5,3.65,1.942
2024-04-01,Потребительский кредит,Сибирь,Зарплатный,Офис,517,339,244,396.7,3969.0,59.8,3.68,1.105
