client_id,avg_monthly_spend_rub,credit_limit_rub,utilization_pct,full_pay_ratio_pct,overdue_events_6m,cash_advance_share_pct,installment_share_pct,digital_engagement_index,deposit_balance_rub,travel_spend_share_pct,interest_income_rub,interchange_income_rub,fee_income_rub,risk_cost_rub,total_margin_rub,latent_cluster_name,kmeans_cluster,pc1,pc2,pc3,recommended_action
CL00017,144939.97,214265.88,41.59,99.16,0.22,1.42,6.11,75.3,295553.24,20.39,15.04,1088.72,94.04,325.94,871.86,"Много тратят, мало маржи",0,-1.5897159317458613,-0.6355889546236456,0.8014212143041094,Предложить премиальный travel-пакет или инвестиционный оффер
CL00018,75623.93,143609.83,44.84,97.41,0.22,0.0,6.43,94.1,162597.76,42.71,34.35,567.64,33.84,343.1,292.73,"Много тратят, мало маржи",0,-2.092808766645548,-0.20543324880591005,1.0622706597189158,Предложить премиальный travel-пакет или инвестиционный оффер
CL00019,125515.38,155345.88,34.19,98.9,0.02,1.82,0.83,88.1,403528.64,24.01,10.86,907.52,13.98,106.94,825.42,"Много тратят, мало маржи",0,-2.3146569483807484,-0.43809267469338775,0.6540665630084793,Предложить премиальный travel-пакет или инвестиционный оффер
CL00020,130959.94,228136.08,29.93,100.0,0.03,0.0,1.22,81.9,416706.68,20.38,0.0,979.57,23.53,79.65,923.45,"Много тратят, мало маржи",0,-2.2935030197732065,-0.35262851484465607,0.47651750044317676,Предложить премиальный travel-пакет или инвестиционный оффер
CL00021,154776.61,364748.04,44.8,97.09,0.0,0.0,1.78,83.0,282583.69,29.11,93.5,1282.06,33.12,0.0,1408.68,"Много тратят, мало маржи",0,-2.116601772081281,-1.235670915419577,0.752274702851243,Предложить премиальный travel-пакет или инвестиционный оффер
CL00022,124766.55,137243.2,24.81,99.39,0.2,2.6,0.03,83.0,288523.35,36.45,3.35,1112.76,0.26,368.37,748.0,"Много тратят, мало маржи",0,-2.4911344491526406,-0.29097325558623793,0.9753211970899557,Предложить премиальный travel-пакет или инвестиционный оффер
CL00023,176853.76,194539.13,41.05,96.82,0.08,0.0,4.64,73.5,314185.02,26.13,70.42,1559.12,69.62,143.06,1556.11,"Много тратят, мало маржи",0,-1.990325173442942,-1.3010828962098386,0.7126814871123992,Предложить премиальный travel-пакет или инвестиционный оффер
CL00024,160735.81,310096.09,35.49,92.07,0.0,0.0,1.09,89.1,202433.62,17.38,134.38,1205.6,24.1,0.0,1364.09,"Много тратят, мало маржи",0,-1.7714441934533027,-1.5232400082470139,0.863031894242129,Предложить премиальный travel-пакет или инвестиционный оффер
CL00025,148221.56,343332.14,33.05,95.19,0.29,3.95,5.42,98.0,330629.59,34.51,146.11,1059.45,103.21,470.79,837.98,"Много тратят, мало маржи",0,-2.3894953249998836,-1.120739839602042,1.5055113876915076,Предложить премиальный travel-пакет или инвестиционный оффер
CL00026,102444.45,292965.84,28.08,93.71,0.0,3.22,2.99,74.8,344687.99,22.89,118.21,807.95,25.84,90.05,861.94,"Много тратят, мало маржи",0,-1.8872233615237453,0.1301779830575989,0.08130003210225692,Предложить премиальный travel-пакет или инвестиционный оффер
CL00027,165362.12,339389.6,35.62,94.43,0.0,0.0,2.47,90.6,368274.34,35.47,165.62,1702.87,54.09,0.0,1922.58,"Много тратят, мало маржи",0,-2.7036190603312003,-1.6118440259280484,0.7462976735519042,Предложить премиальный travel-пакет или инвестиционный оффер
CL00028,102881.75,213355.32,29.28,100.0,0.27,4.15,2.29,73.7,335205.23,25.56,0.0,911.78,33.54,532.17,413.16,"Много тратят, мало маржи",0,-1.8539592820337383,0.437664166249887,0.5997730515441454,Предложить премиальный travel-пакет или инвестиционный оффер
CL00029,161141.38,224824.73,32.43,99.05,0.0,0.0,0.0,77.5,357188.76,38.69,15.61,1161.27,0.0,0.0,1176.88,"Много тратят, мало маржи",0,-2.792190462859742,-0.8553060009189094,0.8533532789248897,Предложить премиальный travel-пакет или инвестиционный оффер
CL00030,133348.97,376764.92,39.58,96.6,0.13,4.06,1.63,80.0,296635.97,33.67,105.28,968.7,23.86,219.83,878.0,"Много тратят, мало маржи",0,-2.0762631596704177,-0.5113774600244496,0.86947374002014,Предложить премиальный travel-пакет или инвестиционный оффер
CL00031,147478.85,267797.45,38.86,97.25,0.0,2.57,3.6,82.5,261322.68,31.85,54.03,1476.53,53.22,71.96,1511.82,"Много тратят, мало маржи",0,-2.118184990715566,-1.1791733076223025,0.6413355859985846,Предложить премиальный travel-пакет или инвестиционный оффер
CL00032,161129.58,300334.71,30.97,96.29,0.09,0.25,5.06,95.8,314518.43,45.37,58.1,1417.79,119.0,194.63,1400.26,"Много тратят, мало маржи",0,-3.0070856331386246,-1.5732359511251583,1.2739789135187447,Предложить премиальный travel-пакет или инвестиционный оффер
CL00033,157309.71,173040.68,44.63,94.99,0.37,2.49,1.79,86.3,188347.83,23.73,90.69,1513.53,25.39,782.19,847.43,"Много тратят, мало маржи",0,-1.5086228400600883,-1.125685734821308,1.4860334984015697,Предложить премиальный travel-пакет или инвестиционный оффер
CL00034,139132.07,347795.38,31.65,95.61,0.09,0.0,2.47,91.6,344792.69,18.72,84.4,1165.14,51.1,248.81,1051.82,"Много тратят, мало маржи",0,-2.103954970392481,-0.9097495359816471,0.7888871888855759,Предложить премиальный travel-пакет или инвестиционный оффер
CL00035,101453.13,247302.28,27.99,95.13,0.0,0.0,2.14,81.1,255699.62,31.88,88.41,1079.67,31.66,0.0,1199.74,"Много тратят, мало маржи",0,-2.22830665741662,-0.3028688897316431,0.21766831268297485,Предложить премиальный travel-пакет или инвестиционный оффер
CL00036,153486.6,180072.04,22.82,95.84,0.25,3.1,2.42,89.2,336847.3,33.47,40.31,1094.77,31.01,354.69,811.41,"Много тратят, мало маржи",0,-2.5496142255454504,-0.828567678113703,1.333368112250704,Предложить премиальный travel-пакет или инвестиционный оффер
CL00037,114725.71,165514.31,24.59,98.65,0.0,0.0,5.05,87.7,314653.58,44.75,12.23,1082.06,88.04,1.8,1180.54,"Много тратят, мало маржи",0,-2.9511515676702866,-0.6142475780131563,0.5883570978140715,Предложить премиальный travel-пакет или инвестиционный оффер
CL00038,104767.31,310451.86,26.11,96.48,0.0,4.04,1.15,81.8,324124.85,32.17,63.0,752.07,10.21,113.13,712.14,"Много тратят, мало маржи",0,-2.3255748781675276,-0.01149341782297131,0.4683992138740452,Предложить премиальный travel-пакет или инвестиционный оффер
CL00039,145747.42,196407.91,36.21,97.65,0.0,2.0,4.96,93.4,348292.87,26.84,32.93,1146.88,110.34,55.9,1234.25,"Много тратят, мало маржи",0,-2.309559751934709,-1.2235583881290395,0.8267349896285158,Предложить премиальный travel-пакет или инвестиционный оффер
CL00040,171629.66,337923.42,34.65,93.56,0.53,0.0,6.47,93.5,319571.76,37.88,124.03,1837.91,159.59,523.24,1598.29,"Много тратят, мало маржи",0,-2.405402722137183,-1.5977852082400674,1.5639046527864329,Предложить премиальный travel-пакет или инвестиционный оффер
CL00041,131247.36,150708.2,37.69,95.34,0.0,0.0,5.9,83.7,412151.68,14.29,66.69,1097.07,78.04,0.0,1241.8,"Много тратят, мало маржи",0,-1.8488620529213167,-0.6979068484197778,0.24268526696577375,Предложить премиальный travel-пакет или инвестиционный оффер
CL00042,127809.15,270149.28,33.6,99.5,0.3,2.48,3.83,98.0,252138.75,33.32,6.91,902.44,37.89,586.83,360.4,"Много тратят, мало маржи",0,-2.2787350801250326,-0.7494178080710298,1.586305496986709,Предложить премиальный travel-пакет или инвестиционный оффер
CL00043,137018.38,283492.53,33.18,100.0,0.24,0.0,6.43,74.2,354024.85,20.64,0.0,1078.96,66.61,709.01,436.56,"Много тратят, мало маржи",0,-1.8730171770446493,-0.19264350740381633,0.8399026651906799,Предложить премиальный travel-пакет или инвестиционный оффер
CL00044,150259.24,165285.17,36.06,93.39,0.24,0.0,2.58,98.0,195232.15,19.69,99.42,1127.47,39.77,190.21,1076.45,"Много тратят, мало маржи",0,-1.777207507118277,-1.4570057165826777,1.3194186546268911,Предложить премиальный travel-пакет или инвестиционный оффер
CL00045,118915.25,240499.89,41.8,95.54,0.21,3.85,5.69,92.7,209798.16,30.27,72.43,939.18,99.74,342.99,768.36,"Много тратят, мало маржи",0,-1.7717320286202882,-0.8221717807167702,1.1027297699970098,Предложить премиальный travel-пакет или инвестиционный оффер
CL00046,154809.13,170290.05,33.7,94.15,0.0,0.69,4.95,81.7,343016.91,23.43,84.32,1291.85,101.91,19.21,1458.88,"Много тратят, мало маржи",0,-2.098122069458023,-1.1209554927666816,0.523182120009806,Предложить премиальный travel-пакет или инвестиционный оффер
CL00047,157843.64,187259.75,34.28,97.53,0.0,1.12,3.2,71.0,437830.08,36.29,25.36,1112.02,39.63,31.43,1145.57,"Много тратят, мало маржи",0,-2.6347818469270745,-0.5658649248661201,0.5813353816636497,Предложить премиальный travel-пакет или инвестиционный оффер
CL00048,129455.62,237001.49,43.24,100.0,0.48,4.0,9.59,77.5,196400.12,15.07,0.0,1028.41,185.12,1239.73,-26.2,"Много тратят, мало маржи",0,-0.9360766391706281,-0.2541321488211964,1.3584370342649865,Предложить премиальный travel-пакет или инвестиционный оффер
CL00049,108530.36,276930.73,48.82,97.14,0.37,3.19,1.8,90.1,267661.36,41.08,91.87,761.16,21.66,823.75,50.93,"Много тратят, мало маржи",0,-2.0959546117762766,-0.1365728640519217,1.5548221811954646,Предложить премиальный travel-пакет или инвестиционный оффер
CL00050,90578.65,329526.72,42.84,97.17,0.13,0.0,5.31,79.4,463437.4,22.87,84.76,975.05,41.59,185.62,915.78,"Много тратят, мало маржи",0,-1.9383137819552676,0.23229367373042895,0.058540430216162447,Предложить премиальный travel-пакет или инвестиционный оффер
CL00051,97739.15,234749.63,40.89,92.23,0.0,3.85,8.36,85.2,175143.0,32.88,131.96,813.86,124.63,107.68,962.78,"Много тратят, мало маржи",0,-1.674442879418099,-0.5918829961123119,0.44918595027499786,Предложить премиальный travel-пакет или инвестиционный оффер
CL00052,140057.35,361797.45,23.99,94.53,0.0,3.63,4.43,86.5,356575.98,37.06,108.35,1174.14,50.97,101.72,1231.74,"Много тратят, мало маржи",0,-2.6694260529906977,-0.8473426346646267,0.7034164996098801,Предложить премиальный travel-пакет или инвестиционный оффер
CL00053,102844.97,161201.2,45.56,95.77,0.18,0.68,4.43,80.9,0.0,24.7,83.93,1077.86,50.93,295.72,917.0,"Много тратят, мало маржи",0,-1.077075978836849,-0.694702748223339,0.7025552354311477,Предложить премиальный travel-пакет или инвестиционный оффер
CL00054,143398.65,202053.63,43.94,93.89,0.02,3.35,3.19,79.3,121531.33,43.99,142.89,1484.83,30.38,120.88,1537.23,"Много тратят, мало маржи",0,-2.0375171030748382,-1.2798512350440627,0.8099771966553296,Предложить премиальный travel-пакет или инвестиционный оффер
CL00055,125684.63,168225.9,39.9,99.02,0.0,1.04,8.65,83.2,269016.98,44.23,16.42,1244.36,87.71,29.2,1319.28,"Много тратят, мало маржи",0,-2.4779305417330537,-0.9378971265833217,0.6043921253365111,Предложить премиальный travel-пакет или инвестиционный оффер
CL00056,152151.08,231051.74,42.3,95.67,0.22,0.82,6.11,75.7,334705.07,31.8,76.87,1610.33,124.16,205.79,1605.58,"Много тратят, мало маржи",0,-2.000957945831905,-0.9769675187952361,0.6321761824716454,Предложить премиальный travel-пакет или инвестиционный оффер
CL00057,106808.8,154737.81,37.42,100.0,0.0,0.0,14.39,83.0,273481.18,33.55,0.0,809.18,211.28,0.0,1020.46,"Много тратят, мало маржи",0,-2.091836490524166,-0.6628908396690437,0.3490475732388288,Предложить премиальный travel-пакет или инвестиционный оффер
CL00058,178431.37,241558.69,42.63,94.8,0.0,0.0,5.3,78.5,262977.22,27.82,100.42,1323.23,127.19,0.0,1550.84,"Много тратят, мало маржи",0,-1.9987289891242062,-1.5977707045084255,0.8179377974306827,Предложить премиальный travel-пакет или инвестиционный оффер
CL00059,110670.49,201787.92,41.04,94.52,0.46,3.75,5.73,98.0,232769.58,35.73,108.76,817.86,99.98,1400.93,-374.33,"Много тратят, мало маржи",0,-1.940711657283017,-0.2741357553896651,1.9388159840066284,Предложить премиальный travel-пакет или инвестиционный оффер
CL00060,119697.25,216579.83,30.05,100.0,0.06,0.0,3.42,91.8,302534.61,31.71,0.0,1210.52,43.86,161.25,1093.13,"Много тратят, мало маржи",0,-2.485699497731485,-0.7502088143770957,0.7155439170639095,Предложить премиальный travel-пакет или инвестиционный оффер
CL00061,138606.11,152466.73,10.95,99.15,0.33,0.0,5.47,73.4,339950.31,35.98,3.44,1219.35,84.0,1008.52,298.28,"Много тратят, мало маржи",0,-2.67622758950562,0.026774086376393363,1.1267653652136858,Предложить премиальный travel-пакет или инвестиционный оффер
CL00062,140027.25,161338.11,32.89,99.83,0.04,0.77,7.05,87.4,320454.18,27.68,1.41,1007.32,88.46,104.35,992.83,"Много тратят, мало маржи",0,-2.276266713244394,-0.9504997704881517,0.8002549056777017,Предложить премиальный travel-пакет или инвестиционный оффер
CL00063,133210.92,146532.01,32.26,90.94,0.29,0.33,6.03,86.3,254729.17,37.28,117.84,1250.95,103.85,759.45,713.19,"Много тратят, мало маржи",0,-2.2226682053814737,-0.7014057994708185,1.220950018797138,Предложить премиальный travel-пакет или инвестиционный оффер
CL00064,141398.46,214807.86,27.98,100.0,0.03,2.61,10.36,70.3,305416.88,40.65,0.0,1503.77,225.79,109.16,1620.4,"Много тратят, мало маржи",0,-2.416358831566638,-0.805521140526073,0.287743057759096,Предложить премиальный travel-пакет или инвестиционный оффер
CL00065,122906.68,333865.87,21.66,91.55,0.12,0.0,8.13,72.3,152297.02,16.8,112.1,1313.72,81.66,175.77,1331.7,"Много тратят, мало маржи",0,-1.3838567619211128,-0.6238221713717998,0.16345018567968364,Предложить премиальный travel-пакет или инвестиционный оффер
CL00066,106794.9,278585.88,33.68,95.64,0.28,0.0,2.73,79.4,303259.42,33.07,100.42,865.24,28.68,478.23,516.11,"Много тратят, мало маржи",0,-2.122845441631895,0.07208797473476423,0.8179576982960608,Предложить премиальный travel-пакет или инвестиционный оффер
CL00067,148923.17,164973.87,33.26,98.67,0.12,2.67,2.17,83.9,260169.39,18.83,14.56,1517.3,21.52,179.05,1374.33,"Много тратят, мало маржи",0,-1.7766305349690676,-1.0668783511100082,0.7128100578557685,Предложить премиальный travel-пакет или инвестиционный оффер
CL00068,167524.14,202957.92,39.6,99.15,0.0,2.14,9.03,92.8,320788.83,42.66,18.34,1466.15,178.37,59.81,1603.07,"Много тратят, мало маржи",0,-2.7233855266901124,-1.8122469875787004,1.0727687361216536,Предложить премиальный travel-пакет или инвестиционный оффер
CL00069,136538.04,185165.52,42.88,95.63,0.09,1.72,7.05,81.7,339624.46,42.91,65.18,1364.64,97.89,147.64,1380.07,"Много тратят, мало маржи",0,-2.4312964250862352,-0.9014467946417309,0.6900962639637883,Предложить премиальный travel-пакет или инвестиционный оффер
CL00070,128704.85,215560.44,19.92,95.77,0.0,0.43,3.05,82.4,458259.09,24.48,46.1,914.21,58.62,12.06,1006.87,"Много тратят, мало маржи",0,-2.5869153328149572,-0.29139974074441044,0.35490832360438906,Предложить премиальный travel-пакет или инвестиционный оффер
CL00071,143308.97,240764.39,36.09,99.13,0.1,0.27,4.17,83.6,175496.46,39.74,14.72,1047.74,86.4,226.55,922.31,"Много тратят, мало маржи",0,-2.3291822068656645,-1.0354965851232252,1.1413242016917395,Предложить премиальный travel-пакет или инвестиционный оффер
CL00072,141974.5,200286.76,25.21,100.0,0.0,4.44,5.16,87.3,215089.77,31.62,0.0,1125.96,115.65,124.2,1117.41,"Много тратят, мало маржи",0,-2.258999460027724,-1.0935364962390794,0.8671260473812642,Предложить премиальный travel-пакет или инвестиционный оффер
CL00073,144454.77,241317.89,25.39,97.26,0.0,0.0,1.01,88.3,312319.94,29.4,29.22,1122.81,10.77,0.0,1162.8,"Много тратят, мало маржи",0,-2.5654454290456896,-0.9579639606832145,0.7934779098637404,Предложить премиальный travel-пакет или инвестиционный оффер
CL00074,100889.03,194616.09,37.87,96.23,0.0,0.0,4.63,87.9,285587.34,32.75,67.7,802.08,55.65,0.0,925.43,"Много тратят, мало маржи",0,-2.2210387671525846,-0.4434273269548234,0.47786939904361503,Предложить премиальный travel-пакет или инвестиционный оффер
CL00075,134835.57,185493.07,38.33,97.09,0.31,1.81,9.14,84.6,290322.3,26.56,40.89,1304.42,183.94,689.29,839.96,"Много тратят, мало маржи",0,-1.7882470178017156,-0.7521143081645066,1.020666017287046,Предложить премиальный travel-пакет или инвестиционный оффер
CL00076,169620.03,186582.04,26.61,96.56,0.0,1.52,4.11,84.2,207555.25,30.19,26.66,1209.31,90.55,42.5,1284.01,"Много тратят, мало маржи",0,-2.2838388986447042,-1.480869554689655,1.013985190453516,Предложить премиальный travel-пакет или инвестиционный оффер
CL00077,155551.75,171106.92,30.25,97.22,0.12,0.49,1.38,76.8,376590.73,34.68,36.26,1540.79,15.58,305.02,1287.61,"Много тратят, мало маржи",0,-2.5721505714404582,-0.7323050072051258,0.7538777899805363,Предложить премиальный travel-пакет или инвестиционный оффер
CL00078,115042.77,209841.2,35.27,100.0,0.01,0.0,1.41,89.4,136521.17,28.84,0.0,1147.66,12.16,24.06,1135.76,"Много тратят, мало маржи",0,-2.0026613783875984,-0.9078161878165705,0.6846688459948502,Предложить премиальный travel-пакет или инвестиционный оффер
CL00079,160700.78,216357.78,33.23,91.96,0.09,0.0,2.19,91.2,230612.52,32.85,106.67,1582.44,34.25,91.46,1631.9,"Много тратят, мало маржи",0,-2.3211284370216863,-1.613956804407624,1.0055727367521048,Предложить премиальный travel-пакет или инвестиционный оффер
CL00080,162235.55,247628.49,34.06,94.82,0.0,3.12,0.25,94.8,463244.28,33.57,111.7,1354.69,6.09,87.43,1385.06,"Много тратят, мало маржи",0,-2.8374894889976217,-1.2442793429800942,0.9772305016920304,Предложить премиальный travel-пакет или инвестиционный оффер
CL00081,104584.95,155247.82,26.79,94.88,0.15,1.31,6.17,81.7,308130.61,36.24,37.93,855.07,82.97,292.3,683.67,"Много тратят, мало маржи",0,-2.3332862052158063,-0.09565085025661611,0.6282840130286222,Предложить премиальный travel-пакет или инвестиционный оффер
CL00082,134018.01,147419.82,25.68,94.39,0.0,3.01,7.64,75.4,396787.14,32.08,49.89,1240.14,145.41,84.19,1351.25,"Много тратят, мало маржи",0,-2.361761085738285,-0.5265357905540784,0.23433436953149536,Предложить премиальный travel-пакет или инвестиционный оффер
CL00083,141076.73,308665.4,21.51,94.85,0.14,4.1,3.31,81.8,361907.26,30.72,55.72,1345.63,48.91,212.13,1238.13,"Много тратят, мало маржи",0,-2.380503266015081,-0.6245400966942728,0.6725857039314336,Предложить премиальный travel-пакет или инвестиционный оффер
CL00084,163533.05,248967.34,33.02,95.3,0.03,0.0,3.74,77.7,229933.23,21.14,65.94,1276.26,73.19,73.23,1342.16,"Много тратят, мало маржи",0,-1.8422336900149419,-1.2318603116341926,0.6990948085261183,Предложить премиальный travel-пакет или инвестиционный оффер
CL00085,117215.29,237614.38,33.67,99.45,0.66,1.24,7.83,68.7,237817.76,32.81,10.83,1097.69,83.21,1893.38,-701.66,"Много тратят, мало маржи",0,-1.6515906139462802,0.6285168844339373,1.6790497844375105,Предложить премиальный travel-пакет или инвестиционный оффер
CL00086,145599.87,222227.63,28.71,99.22,0.05,0.0,4.96,72.6,258518.08,28.34,7.92,1311.11,103.78,150.93,1271.88,"Много тратят, мало маржи",0,-2.1146078825037353,-0.7611849654263175,0.49443196162999375,Предложить премиальный travel-пакет или инвестиционный оффер
CL00087,145406.51,287937.57,32.35,94.38,0.07,1.28,6.33,84.0,234748.77,32.38,133.74,1545.81,73.79,242.33,1511.02,"Много тратят, мало маржи",0,-2.133193258391346,-1.2352773656269687,0.6922780702136782,Предложить премиальный travel-пакет или инвестиционный оффер
CL00088,133298.86,252409.51,19.5,96.85,0.09,0.35,3.58,75.6,341206.21,28.03,26.28,1201.24,54.13,179.09,1102.56,"Много тратят, мало маржи",0,-2.374007192442366,-0.36764296194032076,0.44368464466024243,Предложить премиальный travel-пакет или инвестиционный оффер
CL00089,134755.12,340566.44,22.11,100.0,0.5,1.41,1.8,83.6,195286.88,37.01,0.0,1230.49,38.57,1318.57,-49.52,"Много тратят, мало маржи",0,-2.3018483982551654,-0.20090829030956894,1.8231262554938203,Предложить премиальный travel-пакет или инвестиционный оффер
CL00090,113826.03,265080.11,46.63,96.79,0.0,2.07,7.08,87.1,252584.3,36.13,67.01,816.41,97.34,57.94,922.83,"Много тратят, мало маржи",0,-2.0511666715152135,-0.7497819124120322,0.6897807836955272,Предложить премиальный travel-пакет или инвестиционный оффер
CL00091,165147.7,461288.79,37.97,94.79,0.17,2.82,6.34,75.9,317391.27,34.54,223.99,1406.43,136.59,457.29,1309.72,"Много тратят, мало маржи",0,-2.125751740747042,-1.0671946979201712,0.9137008681223299,Предложить премиальный travel-пакет или инвестиционный оффер
CL00092,143328.77,319694.1,47.55,100.0,0.15,0.0,0.0,84.2,243703.85,42.42,0.0,1342.11,0.0,213.73,1128.38,"Много тратят, мало маржи",0,-2.4100177601057267,-0.9797964270291233,1.1424052405828453,Предложить премиальный travel-пакет или инвестиционный оффер
CL00093,162503.74,205235.43,25.0,91.27,0.0,0.15,3.79,93.2,268080.42,41.04,112.3,1280.75,75.96,10.93,1458.09,"Много тратят, мало маржи",0,-2.849084301650374,-1.5920163642255367,1.0921065565299608,Предложить премиальный travel-пакет или инвестиционный оффер
CL00094,118968.96,262899.49,32.63,92.6,0.0,0.0,1.01,87.5,369099.2,13.14,98.61,899.68,8.61,0.0,1006.9,"Много тратят, мало маржи",0,-1.8686437984148123,-0.46847045170413065,0.3361727233461675,Предложить премиальный travel-пакет или инвестиционный оффер
CL00095,133803.55,231218.36,27.28,97.38,0.17,2.62,2.63,97.4,304145.23,47.32,45.84,1065.18,27.78,558.66,580.14,"Много тратят, мало маржи",0,-3.003812230490869,-0.8099953026361859,1.520393316717456,Предложить премиальный travel-пакет или инвестиционный оффер
CL00096,137863.86,289156.09,40.29,94.68,0.0,7.05,6.45,92.0,337750.93,36.66,135.97,1109.3,68.18,197.43,1116.02,"Много тратят, мало маржи",0,-2.266451908144303,-1.0720440591588387,0.9026366569163353,Предложить премиальный travel-пакет или инвестиционный оффер
CL00097,127839.34,257034.92,40.25,97.64,0.03,2.9,3.07,66.2,396192.01,35.14,67.06,895.53,27.45,134.27,855.76,"Много тратят, мало маржи",0,-2.2012798760564185,0.023132186564366775,0.3607506928590327,Предложить премиальный travel-пакет или инвестиционный оффер
CL00098,189270.95,273598.81,24.91,97.05,0.0,0.0,1.03,81.8,151878.18,32.36,31.56,2038.64,28.32,0.0,2098.52,"Много тратят, мало маржи",0,-2.384062870820626,-2.023181128437493,0.8836023929552989,Предложить премиальный travel-пакет или инвестиционный оффер
CL00099,133544.84,205847.99,26.57,94.48,0.06,1.49,0.08,76.9,236093.84,19.29,71.18,1082.17,1.72,107.44,1047.62,"Много тратят, мало маржи",0,-1.783968093408791,-0.5215079248727701,0.5038873933475132,Предложить премиальный travel-пакет или инвестиционный оффер
